time,logger,level,database,threadid,message,exception
2016-10-20 14:03:15.6075,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,36,Document with key 'Raven/StudioConfig' was not found,
2016-10-20 14:03:15.6075,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,36,Request #  58: GET     -     4 ms - Candidates - 404 - http://localhost:8080/databases/Candidates/studio-tasks/config,
2016-10-20 14:03:15.6075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,No tasks to execute were found!,
2016-10-20 14:03:15.6075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"Executed 0 tasks, processed documents: 0, took 22ms",
2016-10-20 14:03:15.6075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,No tasks to execute were found!,
2016-10-20 14:03:15.6075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:15.6250,Raven.Database.Indexing.IndexStorage,Debug,Candidates,40,"Flushed simple map index: Raven/DocumentsByEntityName (id: 1), took 4ms",
2016-10-20 14:03:15.6250,Raven.Database.Indexing.WorkContext,Debug,Candidates,40,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2016-10-20 14:03:15.6615,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,36,Request #  59: GET     -     0 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/changes/config?id=d91Lp&command=watch-docs,
2016-10-20 14:03:15.6615,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,32,Request #  60: GET     -     0 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/changes/config?id=d91Lp&command=watch-indexes,
2016-10-20 14:03:15.6615,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,38,Request #  61: GET     -     0 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/changes/config?id=d91Lp&command=watch-bulk-operation,
2016-10-20 14:03:15.6785,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,37,Request #  62: GET     -    72 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/stats,
2016-10-20 14:03:15.6916,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,37,Request #  63: GET     -     0 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/stats,
2016-10-20 14:03:21.0355,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,37,Document with key 'Raven/Hilo/students' was not found,
2016-10-20 14:03:21.0355,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,37,Document with key 'Raven/ServerPrefixForHilo' was not found,
2016-10-20 14:03:21.0355,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,37,Request #  64: GET     -     3 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/queries/?&id=Raven%2FHilo%2Fstudents&id=Raven%2FServerPrefixForHilo,
2016-10-20 14:03:21.0355,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,37,"Results count: 2, includes count: 0",
2016-10-20 14:03:21.2424,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,12,"Inserted a new document with key 'Raven/Hilo/students', update: False, ",
2016-10-20 14:03:21.2887,Raven.Database.Indexing.WorkContext,Debug,Candidates,12,Incremented work counter to 2 because: PUT Raven/Hilo/students,
2016-10-20 14:03:21.2887,Raven.Database.DocumentDatabase,Debug,Candidates,12,Put document Raven/Hilo/students with etag 01000000-0000-0001-0000-000000000001,
2016-10-20 14:03:21.2887,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:21.2887,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,12,Request #  65: PUT     -    62 ms - Candidates - 201 - http://localhost:8080/databases/Candidates/docs/Raven/Hilo/students,
2016-10-20 14:03:21.2972,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,37,Request #  66: GET     -     4 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/stats,
2016-10-20 14:03:21.4078,Raven.Database.Server.Controllers.RavenBaseApiController,Debug,Candidates,29,"	PUT students/1
",
2016-10-20 14:03:21.4078,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Candidates,29,"Inserted a new document with key 'students/1', update: False, ",
2016-10-20 14:03:21.4078,Raven.Database.DocumentDatabase,Debug,Candidates,29,Put document students/1 with etag 01000000-0000-0001-0000-000000000002,
2016-10-20 14:03:21.4233,Raven.Database.Indexing.WorkContext,Debug,Candidates,29,Incremented work counter to 3 because: PUT students/1,
2016-10-20 14:03:21.4233,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:21.4233,Raven.Database.Prefetching.PrefetchingBehavior,Debug,Candidates,40,"Not enough results to fill requested count (512), but we have some (1) in memory. Going to index the results while loading more from disk in background.",
2016-10-20 14:03:21.4233,Raven.Database.Prefetching.PrefetchingBehavior,Info,Candidates,40,Skipping background prefetching because we already have a document with 01000000-0000-0001-0000-000000000002 etag in the queue.,
2016-10-20 14:03:21.4233,Raven.Database.Server.WebApi.RequestManager,Debug,Candidates,29,Request #  67: POST    -    37 ms - Candidates - 200 - http://localhost:8080/databases/Candidates/bulk_docs,
2016-10-20 14:03:21.4348,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (Raven/Hilo/students),
2016-10-20 14:03:21.5174,Raven.Database.Impl.DocumentRetriever,Debug,,29,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/students,
2016-10-20 14:03:21.5174,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"After read triggers executed, 1 documents remained",
2016-10-20 14:03:21.5174,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"Going to index 1 documents in Index: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0000-0000-000000000000: (Raven/Hilo/students)",
2016-10-20 14:03:21.5299,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Hilo/students),
2016-10-20 14:03:21.6880,Raven.Database.Indexing.Index.Indexing,Debug,Candidates,40,Indexed 0 documents for Raven/DocumentsByEntityName,
2016-10-20 14:03:21.6880,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"After indexing 1 documents, the new last etag for is: 01000000-0000-0001-0000-000000000001 for Raven/DocumentsByEntityName",
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,,40,No tasks to execute were found!,
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,,40,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:21.7075,Raven.Database.Indexing.WorkContext,Debug,,40,Incremented work counter to 4 because: WORK BY IndexingExecuter,
2016-10-20 14:03:21.7075,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:21.7075,Raven.Database.Prefetching.PrefetchingBehavior,Debug,Candidates,40,"Not enough results to fill requested count (512), but we have some (1) in memory. Going to index the results while loading more from disk in background.",
2016-10-20 14:03:21.7075,Raven.Database.Prefetching.PrefetchingBehavior,Info,Candidates,40,Skipping background prefetching because we got no documents to fetch. Last etag: 01000000-0000-0001-0000-000000000002,
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,Found a total of 1 documents that requires indexing since etag: 01000000-0000-0001-0000-000000000001: (students/1),
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"After read triggers executed, 1 documents remained",
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"Going to index 1 documents in Index: Raven/DocumentsByEntityName, LastIndexedEtag: 01000000-0000-0001-0000-000000000001: (students/1)",
2016-10-20 14:03:21.7075,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,Indexing 1 documents for index: Raven/DocumentsByEntityName. (students/1),
2016-10-20 14:03:21.8511,Raven.Database.Indexing.Index.Indexing,Debug,Candidates,40,"Indexing on students/1 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: students/1
	Tag I-: Students
	LastModified I-: 2016-10-20T18:03:21.4133688Z
	LastModifiedTicks I-: 636125834014133688
",
2016-10-20 14:03:22.0508,Raven.Database.Indexing.Index.Indexing,Debug,Candidates,40,Indexed 1 documents for Raven/DocumentsByEntityName,
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,Candidates,40,"After indexing 1 documents, the new last etag for is: 01000000-0000-0001-0000-000000000002 for Raven/DocumentsByEntityName",
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,No tasks to execute were found!,
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:22.0508,Raven.Database.Indexing.WorkContext,Debug,,40,Incremented work counter to 5 because: WORK BY IndexingExecuter,
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,No tasks to execute were found!,
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,"Executed 0 tasks, processed documents: 0, took 0ms",
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,No tasks to execute were found!,
2016-10-20 14:03:22.0508,Raven.Database.Indexing.WorkContext,Debug,Candidates,41,"No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work",
2016-10-20 14:03:22.0508,Raven.Database.Indexing.IndexingExecuter,Debug,,40,"Executed 0 tasks, processed documents: 0, took 0ms",
